country,iso2c,iso3c,year,status,lastupdated,fertility,edu_upper,edu_lower,edu_tertiary,gdp,urban,female_labor,contraceptive,region,capital,longitude,latitude,income,lending
Albania,AL,ALB,2001,,2025-04-15,2.141,32.1199989318848,71,5.65999984741211,1281.6598256178,42.435,49.353,NA,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2002,,2025-04-15,2.002,NA,NA,NA,1425.12421860142,43.501,49.088,75.1,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2015,,2025-04-15,1.631,43.4481582641602,86.3898086547852,14.6553077697754,3952.80357364813,57.434,47.116,NA,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2000,,2025-04-15,2.217,NA,NA,NA,1126.68334010717,41.741,49.849,57.54509792,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2017,,2025-04-15,1.486,42.2201995849609,81.180793762207,15.8802604675293,4531.03220675893,59.383,49.736,NA,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2023,,2025-04-15,1.348,NA,NA,NA,8575.17113446213,64.603,53.207,NA,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2010,,2025-04-15,1.653,38.4039878845215,87.9316711425781,NA,4094.34968570481,52.163,46.835,NA,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2016,,2025-04-15,1.555,41.9374923706055,87.3639907836914,14.3125848770142,4124.05538986272,58.421,49.888,NA,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2022,,2025-04-15,1.355,48.6304550170898,90.4998779296875,21.3606376647949,6846.42614266044,63.799,53.183,NA,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2013,,2025-04-15,1.741,38.7752723693848,85.0422515869141,12.5608339309692,4413.06338346821,55.387,43.783,NA,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2014,,2025-04-15,1.721,40.7960166931152,84.6635208129883,12.6453409194946,4578.63320812155,56.423,43.958,NA,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2006,,2025-04-15,1.686,NA,NA,NA,2972.74362094736,47.815,46.652,NA,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2012,,2025-04-15,1.719,44.4900016784668,85.2200012207031,12.3999996185303,4247.63134315945,54.33,48.937,NA,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2008,,2025-04-15,1.616,35.2900009155273,78.7600021362305,8.10999965667725,4370.53971639449,49.991,45.513,NA,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2009,,2025-04-15,1.638,NA,NA,NA,4114.13403283023,51.076,45.955,69.3,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2011,,2025-04-15,1.677,38.7299995422363,82.1500015258789,11.5,4437.14116097061,53.247,52.561,NA,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2007,,2025-04-15,1.633,NA,NA,NA,3595.03829536404,48.902,46.076,NA,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Algeria,DZ,DZA,2006,,2025-04-15,2.628,20.8999996185303,NA,NA,3660.66104745322,64.593,13.223,61.4,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
Algeria,DZ,DZA,2010,,2025-04-15,2.875,NA,NA,NA,4912.78585503672,67.54,14.418,NA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
Algeria,DZ,DZA,2021,,2025-04-15,2.87,NA,NA,NA,4160.55926736925,74.261,13.843,NA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
Algeria,DZ,DZA,2008,,2025-04-15,2.785,22.75,NA,NA,5180.91881514686,66.097,13.864,NA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
Algeria,DZ,DZA,2009,,2025-04-15,2.825,NA,NA,NA,4235.42990456612,66.826,14.234,NA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
Algeria,DZ,DZA,2011,,2025-04-15,2.899,11.4799995422363,27.7700004577637,1.92999994754791,5916.31364364343,68.236,14.614,NA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
Algeria,DZ,DZA,2000,,2025-04-15,2.59,NA,NA,NA,1772.92869122761,59.919,12.02,64,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
Algeria,DZ,DZA,2012,,2025-04-15,2.996,NA,NA,NA,6033.64884689543,68.915,14.821,NA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
Algeria,DZ,DZA,2002,,2025-04-15,2.429,NA,NA,NA,1937.46411413019,61.501,12.314,57,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
Algeria,DZ,DZA,2003,,2025-04-15,2.451,NA,NA,NA,2283.77299346126,62.284,12.499,NA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
Algeria,DZ,DZA,2004,,2025-04-15,2.5,NA,NA,NA,2816.99384960555,63.061,12.711,NA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
Algeria,DZ,DZA,2005,,2025-04-15,2.562,NA,NA,NA,3233.13339634212,63.83,12.952,NA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
Algeria,DZ,DZA,2020,,2025-04-15,2.94,NA,NA,NA,3743.5419522929,73.733,13.673,NA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
Algeria,DZ,DZA,2007,,2025-04-15,2.704,NA,NA,NA,4167.4516993753105,65.348,13.527,NA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
Algeria,DZ,DZA,2013,,2025-04-15,2.997,NA,NA,NA,5979.60138960585,69.576,15.036,57.12173594,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
Algeria,DZ,DZA,2014,,2025-04-15,3.084,NA,NA,NA,6094.69392314956,70.221,15.256,NA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
Algeria,DZ,DZA,2015,,2025-04-15,3.091,NA,NA,NA,4685.05902729002,70.848,15.262,NA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
Algeria,DZ,DZA,2016,,2025-04-15,3.091,NA,NA,NA,4424.98529027556,71.459,15.015,NA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
Algeria,DZ,DZA,2017,,2025-04-15,3.09,NA,NA,NA,4554.66753957828,72.052,14.887,NA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
Algeria,DZ,DZA,2018,,2025-04-15,3.019,NA,NA,NA,4577.21029180491,72.629,14.755,NA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
Algeria,DZ,DZA,2019,,2025-04-15,2.997,24.826940536499,42.6240081787109,12.8509502410889,4468.45341883656,73.189,14.623,53.6,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
Algeria,DZ,DZA,2022,,2025-04-15,2.817,NA,NA,NA,4961.55257664733,74.772,14.092,NA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
Algeria,DZ,DZA,2023,,2025-04-15,2.766,NA,NA,NA,5364.02795022731,75.268,14.132,NA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
Algeria,DZ,DZA,2001,,2025-04-15,2.519,NA,NA,NA,1896.30020878013,60.712,12.155,NA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
American Samoa,AS,ASM,2011,,2025-04-15,3.169,NA,NA,NA,10383.459331451,87.502,NA,NA,East Asia & Pacific,Pago Pago,-170.691,-14.2846,High income,Not classified
American Samoa,AS,ASM,2013,,2025-04-15,2.932,NA,NA,NA,11813.5022034589,87.348,NA,NA,East Asia & Pacific,Pago Pago,-170.691,-14.2846,High income,Not classified
American Samoa,AS,ASM,2022,,2025-04-15,2.305,NA,NA,NA,18017.4589383973,87.196,NA,NA,East Asia & Pacific,Pago Pago,-170.691,-14.2846,High income,Not classified
American Samoa,AS,ASM,2012,,2025-04-15,3.043,NA,NA,NA,11745.4899153958,87.42,NA,NA,East Asia & Pacific,Pago Pago,-170.691,-14.2846,High income,Not classified
American Samoa,AS,ASM,2014,,2025-04-15,2.852,NA,NA,NA,12026.3344929488,87.288,NA,NA,East Asia & Pacific,Pago Pago,-170.691,-14.2846,High income,Not classified
American Samoa,AS,ASM,2015,,2025-04-15,2.78,NA,NA,NA,12727.4102651386,87.238,NA,NA,East Asia & Pacific,Pago Pago,-170.691,-14.2846,High income,Not classified
American Samoa,AS,ASM,2023,,2025-04-15,2.286,NA,NA,NA,NA,87.235,NA,NA,East Asia & Pacific,Pago Pago,-170.691,-14.2846,High income,Not classified
American Samoa,AS,ASM,2009,,2025-04-15,3.359,NA,NA,NA,12156.0293905777,87.697,NA,NA,East Asia & Pacific,Pago Pago,-170.691,-14.2846,High income,Not classified
American Samoa,AS,ASM,2018,,2025-04-15,2.494,NA,NA,NA,12552.0546868861,87.153,NA,NA,East Asia & Pacific,Pago Pago,-170.691,-14.2846,High income,Not classified
American Samoa,AS,ASM,2019,,2025-04-15,2.404,NA,NA,NA,12886.1359517218,87.147,NA,NA,East Asia & Pacific,Pago Pago,-170.691,-14.2846,High income,Not classified
American Samoa,AS,ASM,2010,,2025-04-15,3.292,NA,NA,NA,10375.1720141957,87.594,NA,NA,East Asia & Pacific,Pago Pago,-170.691,-14.2846,High income,Not classified
American Samoa,AS,ASM,2017,,2025-04-15,2.598,NA,NA,NA,11863.6839452565,87.17,NA,NA,East Asia & Pacific,Pago Pago,-170.691,-14.2846,High income,Not classified
American Samoa,AS,ASM,2000,,2025-04-15,3.89,NA,NA,NA,NA,88.587,NA,NA,East Asia & Pacific,Pago Pago,-170.691,-14.2846,High income,Not classified
American Samoa,AS,ASM,2001,,2025-04-15,3.87,NA,NA,NA,NA,88.491,NA,NA,East Asia & Pacific,Pago Pago,-170.691,-14.2846,High income,Not classified
American Samoa,AS,ASM,2020,,2025-04-15,2.36,NA,NA,NA,14489.2586563775,87.153,NA,NA,East Asia & Pacific,Pago Pago,-170.691,-14.2846,High income,Not classified
American Samoa,AS,ASM,2021,,2025-04-15,2.327,NA,NA,NA,15236.1604875571,87.169,NA,NA,East Asia & Pacific,Pago Pago,-170.691,-14.2846,High income,Not classified
American Samoa,AS,ASM,2004,,2025-04-15,3.945,NA,NA,NA,8958.42866697173,88.198,NA,NA,East Asia & Pacific,Pago Pago,-170.691,-14.2846,High income,Not classified
American Samoa,AS,ASM,2005,,2025-04-15,3.863,NA,NA,NA,8831.26975996609,88.1,NA,NA,East Asia & Pacific,Pago Pago,-170.691,-14.2846,High income,Not classified
American Samoa,AS,ASM,2002,,2025-04-15,3.866,NA,NA,NA,8972.69636535698,88.394,NA,NA,East Asia & Pacific,Pago Pago,-170.691,-14.2846,High income,Not classified
American Samoa,AS,ASM,2003,,2025-04-15,3.91,NA,NA,NA,9197.66196836987,88.297,NA,NA,East Asia & Pacific,Pago Pago,-170.691,-14.2846,High income,Not classified
American Samoa,AS,ASM,2008,,2025-04-15,3.42,NA,NA,NA,10030.8089130902,87.799,NA,NA,East Asia & Pacific,Pago Pago,-170.691,-14.2846,High income,Not classified
American Samoa,AS,ASM,2016,,2025-04-15,2.699,NA,NA,NA,12843.3342903627,87.198,NA,NA,East Asia & Pacific,Pago Pago,-170.691,-14.2846,High income,Not classified
American Samoa,AS,ASM,2006,,2025-04-15,3.685,NA,NA,NA,8745.16621137404,88,NA,NA,East Asia & Pacific,Pago Pago,-170.691,-14.2846,High income,Not classified
American Samoa,AS,ASM,2007,,2025-04-15,3.509,NA,NA,NA,9231.37240924563,87.9,NA,NA,East Asia & Pacific,Pago Pago,-170.691,-14.2846,High income,Not classified
Andorra,AD,AND,2000,,2025-04-15,1.273,NA,NA,NA,21810.2487431414,92.395,NA,NA,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
Andorra,AD,AND,2001,,2025-04-15,1.305,NA,NA,NA,23511.2951475737,92.056,NA,NA,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
Andorra,AD,AND,2011,,2025-04-15,1.321,NA,NA,NA,46657.1561173756,88.726,NA,NA,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
Andorra,AD,AND,2002,,2025-04-15,1.265,NA,NA,NA,26528.130158144,91.641,NA,NA,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
Andorra,AD,AND,2010,,2025-04-15,1.275,NA,NA,NA,42746.8309526019,88.819,NA,NA,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
Andorra,AD,AND,2023,,2025-04-15,1.082,NA,NA,NA,46812.4484486309,87.774,NA,NA,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
Andorra,AD,AND,2014,,2025-04-15,1.168,47.5900001525879,72.0299987792969,21.5400009155273,44369.659691379,88.441,NA,NA,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
Andorra,AD,AND,2003,,2025-04-15,1.18,42.7799987792969,NA,NA,34063.5784034776,91.207,NA,NA,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
Andorra,AD,AND,2004,,2025-04-15,1.229,51.4500007629395,NA,15.4300003051758,39021.1278101878,90.751,NA,NA,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
Andorra,AD,AND,2022,,2025-04-15,1.071,60.3400001525879,81.7200012207031,26.0699996948242,42414.0590092117,87.811,NA,NA,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
Andorra,AD,AND,2006,,2025-04-15,1.234,50.2700004577637,NA,19.0499992370605,43467.2109930745,89.807,NA,NA,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
Andorra,AD,AND,2007,,2025-04-15,1.189,NA,NA,NA,48336.2283329823,89.308,NA,NA,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
Andorra,AD,AND,2008,,2025-04-15,1.25,NA,NA,NA,49132.515707808,89.004,NA,NA,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
Andorra,AD,AND,2009,,2025-04-15,1.208,NA,NA,NA,43975.0183668093,88.912,NA,NA,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
Andorra,AD,AND,2005,,2025-04-15,1.224,43.9700012207031,NA,16.3700008392334,40829.801876968,90.285,NA,NA,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
Andorra,AD,AND,2012,,2025-04-15,1.26,NA,NA,NA,41500.5435791686,88.631,NA,NA,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
Andorra,AD,AND,2015,,2025-04-15,1.223,47.2799987792969,71.6699981689453,21.3400001525879,38654.9347203095,88.345,NA,NA,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
Andorra,AD,AND,2016,,2025-04-15,1.184,47.0400009155273,71.4800033569336,21.2099990844727,40129.8192007698,88.248,NA,NA,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
Andorra,AD,AND,2021,,2025-04-15,1.058,NA,NA,NA,42425.6996756291,87.858,NA,NA,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
Andorra,AD,AND,2018,,2025-04-15,1.053,NA,NA,NA,42819.7745797624,88.062,NA,NA,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
Andorra,AD,AND,2019,,2025-04-15,1.045,NA,NA,NA,41257.8045846483,87.984,NA,NA,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
Andorra,AD,AND,2020,,2025-04-15,1.028,NA,NA,NA,37361.0900666982,87.916,NA,NA,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
Andorra,AD,AND,2017,,2025-04-15,1.129,NA,NA,NA,40672.9943348258,88.15,NA,NA,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
Andorra,AD,AND,2013,,2025-04-15,1.142,NA,NA,NA,42470.3161159692,88.537,NA,NA,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
Angola,AO,AGO,2003,,2025-04-15,6.533,NA,NA,NA,992.698979254665,53.645,75.589,NA,Sub-Saharan Africa,Luanda,13.242,-8.81155,Lower middle income,IBRD
Angola,AO,AGO,2005,,2025-04-15,6.461,NA,NA,NA,1916.46842218625,56,75.618,NA,Sub-Saharan Africa,Luanda,13.242,-8.81155,Lower middle income,IBRD
Angola,AO,AGO,2002,,2025-04-15,6.567,NA,NA,NA,882.147847234303,52.461,75.57,NA,Sub-Saharan Africa,Luanda,13.242,-8.81155,Lower middle income,IBRD
Angola,AO,AGO,2004,,2025-04-15,6.499,NA,NA,NA,1266.21086410236,54.827,75.606,NA,Sub-Saharan Africa,Luanda,13.242,-8.81155,Lower middle income,IBRD
Angola,AO,AGO,2015,,2025-04-15,5.774,12.2427101135254,19.8896903991699,1.2583099603653,3213.90261080059,63.446,73.933,NA,Sub-Saharan Africa,Luanda,13.242,-8.81155,Lower middle income,IBRD
Angola,AO,AGO,2006,,2025-04-15,6.419,NA,NA,NA,2617.05196022633,56.764,75.626,NA,Sub-Saharan Africa,Luanda,13.242,-8.81155,Lower middle income,IBRD
Angola,AO,AGO,2017,,2025-04-15,5.6,NA,NA,NA,2437.25971190821,64.839,73.461,NA,Sub-Saharan Africa,Luanda,13.242,-8.81155,Lower middle income,IBRD
Angola,AO,AGO,2014,,2025-04-15,5.864,12.289999961853,22.1599998474121,2,5005.9997412707,62.731,74.167,NA,Sub-Saharan Africa,Luanda,13.242,-8.81155,Lower middle income,IBRD
Angola,AO,AGO,2001,,2025-04-15,6.601,NA,NA,NA,533.586202412447,51.274,75.551,6.270998417,Sub-Saharan Africa,Luanda,13.242,-8.81155,Lower middle income,IBRD
Angola,AO,AGO,2016,,2025-04-15,5.686,NA,NA,NA,1807.95294072643,64.149,73.698,13.7,Sub-Saharan Africa,Luanda,13.242,-8.81155,Lower middle income,IBRD
Angola,AO,AGO,2008,,2025-04-15,6.32,NA,NA,NA,4103.0669003635,58.282,75.631,NA,Sub-Saharan Africa,Luanda,13.242,-8.81155,Lower middle income,IBRD
Angola,AO,AGO,2013,,2025-04-15,5.953,NA,NA,NA,5057.74787833163,62.002,74.401,NA,Sub-Saharan Africa,Luanda,13.242,-8.81155,Lower middle income,IBRD
Angola,AO,AGO,2018,,2025-04-15,5.519,NA,NA,NA,2538.59139143371,65.514,73.224,NA,Sub-Saharan Africa,Luanda,13.242,-8.81155,Lower middle income,IBRD
Angola,AO,AGO,2000,,2025-04-15,6.639,NA,NA,NA,563.733795571487,50.087,75.531,NA,Sub-Saharan Africa,Luanda,13.242,-8.81155,Lower middle income,IBRD
Angola,AO,AGO,2010,,2025-04-15,6.194,NA,NA,NA,3597.34293216332,59.783,75.621,NA,Sub-Saharan Africa,Luanda,13.242,-8.81155,Lower middle income,IBRD
Angola,AO,AGO,2011,,2025-04-15,6.12,8.80368232727051,16.3818397521973,2.95413708686829,4615.91059831778,60.528,74.865,NA,Sub-Saharan Africa,Luanda,13.242,-8.81155,Lower middle income,IBRD
Angola,AO,AGO,2021,,2025-04-15,5.304,15.2595081329346,28.9550285339355,0,1925.87466082167,67.46,74.695,NA,Sub-Saharan Africa,Luanda,13.242,-8.81155,Lower middle income,IBRD
Angola,AO,AGO,2009,,2025-04-15,6.26,NA,NA,NA,3136.64546955947,59.034,75.626,20,Sub-Saharan Africa,Luanda,13.242,-8.81155,Lower middle income,IBRD
Angola,AO,AGO,2007,,2025-04-15,6.372,NA,NA,NA,3141.0459797605,57.524,75.631,NA,Sub-Saharan Africa,Luanda,13.242,-8.81155,Lower middle income,IBRD
Angola,AO,AGO,2019,,2025-04-15,5.442,14.5816583633423,27.3441772460938,0.0357364565134048,2189.85571407618,66.177,72.985,NA,Sub-Saharan Africa,Luanda,13.242,-8.81155,Lower middle income,IBRD
Angola,AO,AGO,2012,,2025-04-15,6.039,NA,NA,NA,5086.02740086376,61.268,74.633,NA,Sub-Saharan Africa,Luanda,13.242,-8.81155,Lower middle income,IBRD
Angola,AO,AGO,2022,,2025-04-15,5.209,NA,NA,NA,2929.69445467272,68.081,73.179,NA,Sub-Saharan Africa,Luanda,13.242,-8.81155,Lower middle income,IBRD
Angola,AO,AGO,2023,,2025-04-15,5.124,NA,NA,NA,2308.15976731274,68.688,73.224,NA,Sub-Saharan Africa,Luanda,13.242,-8.81155,Lower middle income,IBRD
Angola,AO,AGO,2020,,2025-04-15,5.371,NA,NA,NA,1449.92286669308,66.825,72.731,NA,Sub-Saharan Africa,Luanda,13.242,-8.81155,Lower middle income,IBRD
Antigua and Barbuda,AG,ATG,2002,,2025-04-15,1.94,NA,NA,NA,11657.3487497259,31.098,NA,NA,Latin America & Caribbean,Saint John's,-61.8456,17.1175,High income,IBRD
Antigua and Barbuda,AG,ATG,2020,,2025-04-15,1.569,NA,NA,NA,15360.4544160475,24.433,NA,NA,Latin America & Caribbean,Saint John's,-61.8456,17.1175,High income,IBRD
Antigua and Barbuda,AG,ATG,2018,,2025-04-15,1.371,NA,NA,NA,18273.4270684912,24.599,NA,NA,Latin America & Caribbean,Saint John's,-61.8456,17.1175,High income,IBRD
