country,iso2c,iso3c,year,status,lastupdated,fertility,edu_upper,edu_lower,edu_tertiary,gdp,urban,female_labor,contraceptive,region,capital,longitude,latitude,income,lending,eys_f,gii,mmr,pr_f
Afghanistan,AF,AFG,2019,,2025-04-15,5.238,NA,NA,NA,496.6025042585,25.754,18.304,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA,8.020075111,0.676,644.2725467,27.24358974
Afghanistan,AF,AFG,2008,,2025-04-15,6.392,NA,NA,NA,381.73323802844,23.32,14.957,22.8,South Asia,Kabul,69.1761,34.5228,Low income,IDA,6.068416214,0.69,962.3215231,25.87209302
Afghanistan,AF,AFG,2013,,2025-04-15,5.879,NA,NA,NA,637.087099117099,24.373,17.138,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA,7.826603572,0.708,820.6853492,27.63532764
Afghanistan,AF,AFG,2004,,2025-04-15,7.018,NA,NA,NA,221.763653873013,22.5,14.228,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA,4.210760117,NA,1114.887233,NA
Afghanistan,AF,AFG,2022,,2025-04-15,4.932,5.70547008514404,7.04204988479614,1.53609001636505,357.261152798144,26.616,5.159,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA,8.086575995,0.665,620.4075093,27.21518987
Afghanistan,AF,AFG,2023,,2025-04-15,4.84,NA,NA,NA,415.707417059086,26.933,5.155,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA,8.086575995,0.661,620.4075093,27.21518987
Afghanistan,AF,AFG,2003,,2025-04-15,7.174,NA,NA,NA,198.871115728727,22.353,14.178,10.3,South Asia,Kabul,69.1761,34.5228,Low income,IDA,4.567920208,NA,1196.090689,NA
Afghanistan,AF,AFG,2001,,2025-04-15,7.453,NA,NA,NA,138.706821676113,22.169,14.223,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA,4.058275305,NA,1273.431339,NA
Afghanistan,AF,AFG,2002,,2025-04-15,7.32,NA,NA,NA,178.954088379235,22.261,14.177,NA,South Asia,Kabul,69.1761,34.5228,Low income,IDA,4.305563584,NA,1277.307972,NA
Afghanistan,AF,AFG,2005,,2025-04-15,6.858,NA,NA,NA,254.184249149336,22.703,14.323,13.6,South Asia,Kabul,69.1761,34.5228,Low income,IDA,4.675174141,NA,1102.809756,25.92592593
Afghanistan,AF,AFG,2006,,2025-04-15,6.686,NA,NA,NA,274.218553561575,22.907,14.472,18.6,South Asia,Kabul,69.1761,34.5228,Low income,IDA,5.139588165,NA,1044.400327,25.92592593
Albania,AL,ALB,2003,,2025-04-15,2.006,NA,NA,NA,1846.12012081207,44.573,48.461,NA,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,11.25654831,0.278,12.11916408,5.714285714
Albania,AL,ALB,2019,,2025-04-15,1.395,46.0620880126953,88.8029632568359,18.4749889373779,5460.42823730592,61.229,52.93,NA,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,15.28065014,0.131,5.30502305,29.50819672
Albania,AL,ALB,2020,,2025-04-15,1.371,NA,NA,NA,5370.77862312929,62.112,50.616,NA,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,14.98114967,0.125,8.276445584,29.50819672
Albania,AL,ALB,2005,,2025-04-15,1.787,NA,NA,NA,2673.78781583529,46.731,47.242,60.12268719,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,12.04671001,0.26,10.83049884,7.142857143
Albania,AL,ALB,2021,,2025-04-15,1.365,47.0853271484375,90.1680679321289,19.4729270935059,6413.28328605026,62.969,51.887,NA,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,14.89418983,0.109,8.276445584,35.71428571
Albania,AL,ALB,2018,,2025-04-15,1.415,45.2219161987305,88.39501953125,17.2314472198486,5365.48934672897,60.319,51.407,46,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,15.14710045,0.138,5.429292408,27.85714286
Albania,AL,ALB,2004,,2025-04-15,1.889,NA,NA,NA,2373.58129170055,45.651,47.845,NA,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,11.46207047,0.266,10.63159568,6.428571429
Albania,AL,ALB,2001,,2025-04-15,2.141,32.1199989318848,71,5.65999984741211,1281.6598256178,42.435,49.353,NA,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,10.845504,0.237,12.5255331,5.714285714
Albania,AL,ALB,2002,,2025-04-15,2.002,NA,NA,NA,1425.12421860142,43.501,49.088,75.1,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,11.05102615,0.262,12.40726259,5.714285714
Albania,AL,ALB,2015,,2025-04-15,1.631,43.4481582641602,86.3898086547852,14.6553077697754,3952.80357364813,57.434,47.116,NA,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,15.69736958,0.179,6.878284801,20.71428571
Albania,AL,ALB,2000,,2025-04-15,2.217,NA,NA,NA,1126.68334010717,41.741,49.849,57.54509792,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,10.63998184,0.291,14.32641442,5.161290323
Albania,AL,ALB,2017,,2025-04-15,1.486,42.2201995849609,81.180793762207,15.8802604675293,4531.03220675893,59.383,49.736,NA,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,15.3285799,0.145,6.689697872,27.85714286
Albania,AL,ALB,2023,,2025-04-15,1.348,NA,NA,NA,8575.17113446213,64.603,53.207,NA,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,14.71776962,0.107,8.276445584,35.71428571
Albania,AL,ALB,2010,,2025-04-15,1.653,38.4039878845215,87.9316711425781,NA,4094.34968570481,52.163,46.835,NA,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,13.81262016,0.192,8.516676263,16.42857143
Albania,AL,ALB,2016,,2025-04-15,1.555,41.9374923706055,87.3639907836914,14.3125848770142,4124.05538986272,58.421,49.888,NA,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,15.43848991,0.162,6.656084563,22.85714286
Albania,AL,ALB,2022,,2025-04-15,1.355,48.6304550170898,90.4998779296875,21.3606376647949,6846.42614266044,63.799,53.183,NA,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,14.85848045,0.107,8.276445584,35.71428571
Albania,AL,ALB,2013,,2025-04-15,1.741,38.7752723693848,85.0422515869141,12.5608339309692,4413.06338346821,55.387,43.783,NA,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,15.59819984,0.194,7.215363004,17.85714286
Albania,AL,ALB,2014,,2025-04-15,1.721,40.7960166931152,84.6635208129883,12.6453409194946,4578.63320812155,56.423,43.958,NA,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,15.93356991,0.19,7.009860754,20
Albania,AL,ALB,2006,,2025-04-15,1.686,NA,NA,NA,2972.74362094736,47.815,46.652,NA,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,12.32409954,0.252,10.76676946,7.142857143
Albania,AL,ALB,2012,,2025-04-15,1.719,44.4900016784668,85.2200012207031,12.3999996185303,4247.63134315945,54.33,48.937,NA,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,15.37940979,0.197,7.796702868,15.71428571
Albania,AL,ALB,2008,,2025-04-15,1.616,35.2900009155273,78.7600021362305,8.10999965667725,4370.53971639449,49.991,45.513,NA,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,12.70057011,0.245,9.739403262,7.142857143
Albania,AL,ALB,2009,,2025-04-15,1.638,NA,NA,NA,4114.13403283023,51.076,45.955,69.3,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,13.04461956,0.192,9.097263807,16.42857143
Albania,AL,ALB,2011,,2025-04-15,1.677,38.7299995422363,82.1500015258789,11.5,4437.14116097061,53.247,52.561,NA,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,14.60264015,0.194,8.045227011,15.71428571
Albania,AL,ALB,2007,,2025-04-15,1.633,NA,NA,NA,3595.03829536404,48.902,46.076,NA,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD,12.67313957,0.253,10.19582455,7.142857143
Algeria,DZ,DZA,2006,,2025-04-15,2.628,20.8999996185303,NA,NA,3660.66104745322,64.593,13.223,61.4,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD,13.01191998,0.546,134.4811722,5.253283302
Algeria,DZ,DZA,2010,,2025-04-15,2.875,NA,NA,NA,4912.78585503672,67.54,14.418,NA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD,14.55665016,0.508,111.7429177,7.047619048
Algeria,DZ,DZA,2021,,2025-04-15,2.87,NA,NA,NA,4160.55926736925,74.261,13.843,NA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD,16.13194023,0.442,77.69478932,7.481751825
Algeria,DZ,DZA,2008,,2025-04-15,2.785,22.75,NA,NA,5180.91881514686,66.097,13.864,NA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD,13.68527508,0.521,116.5180854,6.476190476
Algeria,DZ,DZA,2009,,2025-04-15,2.825,NA,NA,NA,4235.42990456612,66.826,14.234,NA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD,14.10593987,0.513,114.5536168,7.047619048
Algeria,DZ,DZA,2011,,2025-04-15,2.899,11.4799995422363,27.7700004577637,1.92999994754791,5916.31364364343,68.236,14.614,NA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD,14.80955029,0.496,105.4632893,7.238095238
Algeria,DZ,DZA,2000,,2025-04-15,2.59,NA,NA,NA,1772.92869122761,59.919,12.02,64,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD,11.45874581,0.61,159.1756828,4.007633588
Algeria,DZ,DZA,2012,,2025-04-15,2.996,NA,NA,NA,6033.64884689543,68.915,14.821,NA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD,14.94178928,0.407,99.07579425,25.82781457
Algeria,DZ,DZA,2002,,2025-04-15,2.429,NA,NA,NA,1937.46411413019,61.501,12.314,57,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD,12.00101206,0.564,150.3942896,6.003752345
Algeria,DZ,DZA,2003,,2025-04-15,2.451,NA,NA,NA,2283.77299346126,62.284,12.499,NA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD,12.28169379,0.559,153.0068402,6.003752345
Algeria,DZ,DZA,2004,,2025-04-15,2.5,NA,NA,NA,2816.99384960555,63.061,12.711,NA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD,12.56894016,0.554,136.8398278,5.253283302
Algeria,DZ,DZA,2005,,2025-04-15,2.562,NA,NA,NA,3233.13339634212,63.83,12.952,NA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD,12.9340601,0.552,143.5236966,5.253283302
Algeria,DZ,DZA,2020,,2025-04-15,2.94,NA,NA,NA,3743.5419522929,73.733,13.673,NA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD,15.99970124,0.383,77.69478932,21.06135987
Algeria,DZ,DZA,2007,,2025-04-15,2.704,NA,NA,NA,4167.4516993753105,65.348,13.527,NA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD,13.26461029,0.528,125.0709474,6.476190476
Algeria,DZ,DZA,2013,,2025-04-15,2.997,NA,NA,NA,5979.60138960585,69.576,15.036,57.12173594,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD,15.07402828,0.403,94.34407652,25.82781457
Algeria,DZ,DZA,2014,,2025-04-15,3.084,NA,NA,NA,6094.69392314956,70.221,15.256,NA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD,15.20626727,0.399,86.15146333,25.74257426
Algeria,DZ,DZA,2015,,2025-04-15,3.091,NA,NA,NA,4685.05902729002,70.848,15.262,NA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD,15.33850627,0.397,89.13265009,25.74257426
Algeria,DZ,DZA,2016,,2025-04-15,3.091,NA,NA,NA,4424.98529027556,71.459,15.015,NA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD,15.47074526,0.392,88.99770666,25.78512397
Algeria,DZ,DZA,2017,,2025-04-15,3.09,NA,NA,NA,4554.66753957828,72.052,14.887,NA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD,15.60298426,0.397,89.1435423,21.32231405
Algeria,DZ,DZA,2018,,2025-04-15,3.019,NA,NA,NA,4577.21029180491,72.629,14.755,NA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD,15.73522325,0.383,79.49120666,21.32231405
Algeria,DZ,DZA,2019,,2025-04-15,2.997,24.826940536499,42.6240081787109,12.8509502410889,4468.45341883656,73.189,14.623,53.6,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD,15.86746224,0.385,76.71433947,21.54882155
Algeria,DZ,DZA,2022,,2025-04-15,2.817,NA,NA,NA,4961.55257664733,74.772,14.092,NA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD,16.26417923,0.443,77.69478932,7.00525394
Algeria,DZ,DZA,2023,,2025-04-15,2.766,NA,NA,NA,5364.02795022731,75.268,14.132,NA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD,16.18322945,0.443,77.69478932,6.759098787
Algeria,DZ,DZA,2001,,2025-04-15,2.519,NA,NA,NA,1896.30020878013,60.712,12.155,NA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD,11.72674493,0.597,155.6076592,4.007633588
American Samoa,AS,ASM,2011,,2025-04-15,3.169,NA,NA,NA,10383.459331451,87.502,NA,NA,East Asia & Pacific,Pago Pago,-170.691,-14.2846,High income,Not classified,NA,NA,NA,NA
American Samoa,AS,ASM,2013,,2025-04-15,2.932,NA,NA,NA,11813.5022034589,87.348,NA,NA,East Asia & Pacific,Pago Pago,-170.691,-14.2846,High income,Not classified,NA,NA,NA,NA
American Samoa,AS,ASM,2022,,2025-04-15,2.305,NA,NA,NA,18017.4589383973,87.196,NA,NA,East Asia & Pacific,Pago Pago,-170.691,-14.2846,High income,Not classified,NA,NA,NA,NA
American Samoa,AS,ASM,2012,,2025-04-15,3.043,NA,NA,NA,11745.4899153958,87.42,NA,NA,East Asia & Pacific,Pago Pago,-170.691,-14.2846,High income,Not classified,NA,NA,NA,NA
American Samoa,AS,ASM,2014,,2025-04-15,2.852,NA,NA,NA,12026.3344929488,87.288,NA,NA,East Asia & Pacific,Pago Pago,-170.691,-14.2846,High income,Not classified,NA,NA,NA,NA
American Samoa,AS,ASM,2015,,2025-04-15,2.78,NA,NA,NA,12727.4102651386,87.238,NA,NA,East Asia & Pacific,Pago Pago,-170.691,-14.2846,High income,Not classified,NA,NA,NA,NA
American Samoa,AS,ASM,2023,,2025-04-15,2.286,NA,NA,NA,NA,87.235,NA,NA,East Asia & Pacific,Pago Pago,-170.691,-14.2846,High income,Not classified,NA,NA,NA,NA
American Samoa,AS,ASM,2009,,2025-04-15,3.359,NA,NA,NA,12156.0293905777,87.697,NA,NA,East Asia & Pacific,Pago Pago,-170.691,-14.2846,High income,Not classified,NA,NA,NA,NA
American Samoa,AS,ASM,2018,,2025-04-15,2.494,NA,NA,NA,12552.0546868861,87.153,NA,NA,East Asia & Pacific,Pago Pago,-170.691,-14.2846,High income,Not classified,NA,NA,NA,NA
American Samoa,AS,ASM,2019,,2025-04-15,2.404,NA,NA,NA,12886.1359517218,87.147,NA,NA,East Asia & Pacific,Pago Pago,-170.691,-14.2846,High income,Not classified,NA,NA,NA,NA
American Samoa,AS,ASM,2010,,2025-04-15,3.292,NA,NA,NA,10375.1720141957,87.594,NA,NA,East Asia & Pacific,Pago Pago,-170.691,-14.2846,High income,Not classified,NA,NA,NA,NA
American Samoa,AS,ASM,2017,,2025-04-15,2.598,NA,NA,NA,11863.6839452565,87.17,NA,NA,East Asia & Pacific,Pago Pago,-170.691,-14.2846,High income,Not classified,NA,NA,NA,NA
American Samoa,AS,ASM,2000,,2025-04-15,3.89,NA,NA,NA,NA,88.587,NA,NA,East Asia & Pacific,Pago Pago,-170.691,-14.2846,High income,Not classified,NA,NA,NA,NA
American Samoa,AS,ASM,2001,,2025-04-15,3.87,NA,NA,NA,NA,88.491,NA,NA,East Asia & Pacific,Pago Pago,-170.691,-14.2846,High income,Not classified,NA,NA,NA,NA
American Samoa,AS,ASM,2020,,2025-04-15,2.36,NA,NA,NA,14489.2586563775,87.153,NA,NA,East Asia & Pacific,Pago Pago,-170.691,-14.2846,High income,Not classified,NA,NA,NA,NA
American Samoa,AS,ASM,2021,,2025-04-15,2.327,NA,NA,NA,15236.1604875571,87.169,NA,NA,East Asia & Pacific,Pago Pago,-170.691,-14.2846,High income,Not classified,NA,NA,NA,NA
American Samoa,AS,ASM,2004,,2025-04-15,3.945,NA,NA,NA,8958.42866697173,88.198,NA,NA,East Asia & Pacific,Pago Pago,-170.691,-14.2846,High income,Not classified,NA,NA,NA,NA
American Samoa,AS,ASM,2005,,2025-04-15,3.863,NA,NA,NA,8831.26975996609,88.1,NA,NA,East Asia & Pacific,Pago Pago,-170.691,-14.2846,High income,Not classified,NA,NA,NA,NA
American Samoa,AS,ASM,2002,,2025-04-15,3.866,NA,NA,NA,8972.69636535698,88.394,NA,NA,East Asia & Pacific,Pago Pago,-170.691,-14.2846,High income,Not classified,NA,NA,NA,NA
American Samoa,AS,ASM,2003,,2025-04-15,3.91,NA,NA,NA,9197.66196836987,88.297,NA,NA,East Asia & Pacific,Pago Pago,-170.691,-14.2846,High income,Not classified,NA,NA,NA,NA
American Samoa,AS,ASM,2008,,2025-04-15,3.42,NA,NA,NA,10030.8089130902,87.799,NA,NA,East Asia & Pacific,Pago Pago,-170.691,-14.2846,High income,Not classified,NA,NA,NA,NA
American Samoa,AS,ASM,2016,,2025-04-15,2.699,NA,NA,NA,12843.3342903627,87.198,NA,NA,East Asia & Pacific,Pago Pago,-170.691,-14.2846,High income,Not classified,NA,NA,NA,NA
American Samoa,AS,ASM,2006,,2025-04-15,3.685,NA,NA,NA,8745.16621137404,88,NA,NA,East Asia & Pacific,Pago Pago,-170.691,-14.2846,High income,Not classified,NA,NA,NA,NA
American Samoa,AS,ASM,2007,,2025-04-15,3.509,NA,NA,NA,9231.37240924563,87.9,NA,NA,East Asia & Pacific,Pago Pago,-170.691,-14.2846,High income,Not classified,NA,NA,NA,NA
Andorra,AD,AND,2000,,2025-04-15,1.273,NA,NA,NA,21810.2487431414,92.395,NA,NA,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified,10.51502952,NA,NA,7.142857143
Andorra,AD,AND,2001,,2025-04-15,1.305,NA,NA,NA,23511.2951475737,92.056,NA,NA,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified,10.71747177,NA,NA,14.28571429
Andorra,AD,AND,2011,,2025-04-15,1.321,NA,NA,NA,46657.1561173756,88.726,NA,NA,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified,13.27983761,NA,NA,50
Andorra,AD,AND,2002,,2025-04-15,1.265,NA,NA,NA,26528.130158144,91.641,NA,NA,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified,10.88430023,NA,NA,14.28571429
Andorra,AD,AND,2010,,2025-04-15,1.275,NA,NA,NA,42746.8309526019,88.819,NA,NA,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified,13.04755497,NA,NA,35.71428571
Andorra,AD,AND,2023,,2025-04-15,1.082,NA,NA,NA,46812.4484486309,87.774,NA,NA,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified,14.77278042,NA,NA,50
Andorra,AD,AND,2014,,2025-04-15,1.168,47.5900001525879,72.0299987792969,21.5400009155273,44369.659691379,88.441,NA,NA,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified,11.73736,NA,NA,50
Andorra,AD,AND,2003,,2025-04-15,1.18,42.7799987792969,NA,NA,34063.5784034776,91.207,NA,NA,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified,10.76860046,NA,NA,14.28571429
Andorra,AD,AND,2004,,2025-04-15,1.229,51.4500007629395,NA,15.4300003051758,39021.1278101878,90.751,NA,NA,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified,10.61168003,NA,NA,14.28571429
Andorra,AD,AND,2022,,2025-04-15,1.071,60.3400001525879,81.7200012207031,26.0699996948242,42414.0590092117,87.811,NA,NA,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified,12.76506042,NA,NA,46.42857143
Andorra,AD,AND,2006,,2025-04-15,1.234,50.2700004577637,NA,19.0499992370605,43467.2109930745,89.807,NA,NA,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified,10.87094975,NA,NA,28.57142857
Andorra,AD,AND,2007,,2025-04-15,1.189,NA,NA,NA,48336.2283329823,89.308,NA,NA,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified,11.72696972,NA,NA,28.57142857
Andorra,AD,AND,2008,,2025-04-15,1.25,NA,NA,NA,49132.515707808,89.004,NA,NA,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified,12.58298969,NA,NA,25
Andorra,AD,AND,2009,,2025-04-15,1.208,NA,NA,NA,43975.0183668093,88.912,NA,NA,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified,12.81527233,NA,NA,35.71428571
Andorra,AD,AND,2005,,2025-04-15,1.224,43.9700012207031,NA,16.3700008392334,40829.801876968,90.285,NA,NA,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified,10.72117996,NA,NA,28.57142857
Andorra,AD,AND,2012,,2025-04-15,1.26,NA,NA,NA,41500.5435791686,88.631,NA,NA,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified,13.51212025,NA,NA,50
Andorra,AD,AND,2015,,2025-04-15,1.223,47.2799987792969,71.6699981689453,21.3400001525879,38654.9347203095,88.345,NA,NA,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified,11.88099003,NA,NA,39.28571429
Andorra,AD,AND,2016,,2025-04-15,1.184,47.0400009155273,71.4800033569336,21.2099990844727,40129.8192007698,88.248,NA,NA,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified,12.0988903,NA,NA,32.14285714
Andorra,AD,AND,2021,,2025-04-15,1.058,NA,NA,NA,42425.6996756291,87.858,NA,NA,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified,12.00349045,NA,NA,46.42857143
Andorra,AD,AND,2018,,2025-04-15,1.053,NA,NA,NA,42819.7745797624,88.062,NA,NA,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified,11.88763046,NA,NA,32.14285714
Andorra,AD,AND,2019,,2025-04-15,1.045,NA,NA,NA,41257.8045846483,87.984,NA,NA,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified,11.87524033,NA,NA,46.42857143
Andorra,AD,AND,2020,,2025-04-15,1.028,NA,NA,NA,37361.0900666982,87.916,NA,NA,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified,11.87710953,NA,NA,46.42857143
Andorra,AD,AND,2017,,2025-04-15,1.129,NA,NA,NA,40672.9943348258,88.15,NA,NA,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified,11.96364021,NA,NA,32.14285714
Andorra,AD,AND,2013,,2025-04-15,1.142,NA,NA,NA,42470.3161159692,88.537,NA,NA,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified,11.63269997,NA,NA,50
Angola,AO,AGO,2003,,2025-04-15,6.533,NA,NA,NA,992.698979254665,53.645,75.589,NA,Sub-Saharan Africa,Luanda,13.242,-8.81155,Lower middle income,IBRD,5.399801672,NA,676.4964748,15.45454545
Angola,AO,AGO,2005,,2025-04-15,6.461,NA,NA,NA,1916.46842218625,56,75.618,NA,Sub-Saharan Africa,Luanda,13.242,-8.81155,Lower middle income,IBRD,6.128438294,NA,549.8389617,15
Angola,AO,AGO,2002,,2025-04-15,6.567,NA,NA,NA,882.147847234303,52.461,75.57,NA,Sub-Saharan Africa,Luanda,13.242,-8.81155,Lower middle income,IBRD,5.03548336,NA,758.2718263,15.45454545
